timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1493118624324,115,BeanShell Sampler,200,OK,清除数据库 1-1,text,true,,0,1,3,null,,0,ISO-8859-1,1,0,testcrm.localdomain,0,0
1493118624621,138,MongoDB Script,200,OK,清除数据库 1-1,text,true,,2845,1,6,null,,1,ISO-8859-1,1,0,testcrm.localdomain,0,0
1493118624760,380,MongoDB Script,200,OK,清除数据库 1-1,text,true,,2849,1,8,null,,0,ISO-8859-1,1,0,testcrm.localdomain,0,0
1493118625083,60164,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-2,text,true,,40,965,965,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625084,60182,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-4,text,true,,40,966,966,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625080,60165,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-3,text,true,,40,965,965,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625083,60186,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-1,text,true,,40,966,966,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625101,60176,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-7,text,true,,40,966,966,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625091,60172,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-5,text,true,,40,965,965,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625082,60186,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-6,text,true,,40,966,966,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625493,60078,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-8,text,true,,40,971,971,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625552,60067,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-10,text,true,,40,971,971,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625551,60077,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-9,text,true,,40,971,971,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625612,60075,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-11,text,true,,40,973,973,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625673,60075,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-12,text,true,,40,973,973,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625749,60087,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-13,text,true,,40,975,975,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625792,60081,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-14,text,true,,40,975,975,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625832,60085,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-15,text,true,,40,976,976,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625907,60069,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-16,text,true,,40,977,977,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118625985,60073,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-17,text,true,,40,978,978,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626004,60078,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-18,text,true,,40,979,979,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626058,60074,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-19,text,true,,40,980,980,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626113,60082,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-20,text,true,,40,981,981,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626155,60070,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-21,text,true,,40,981,981,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626232,60069,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-22,text,true,,40,983,983,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626287,60090,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-23,text,true,,40,984,984,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626368,60079,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-24,text,true,,40,985,985,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626422,60096,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-25,text,true,,40,987,987,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626478,60075,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-26,text,true,,40,987,987,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626547,60079,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-27,text,true,,40,989,989,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626666,60094,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-28,text,true,,40,991,991,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626734,60097,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-29,text,true,,40,992,992,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626836,60062,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-30,text,true,,40,994,994,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626870,60088,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-31,text,true,,40,995,995,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118626897,60083,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-32,text,true,,40,995,995,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118627019,60081,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-33,text,true,,40,997,997,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118627062,60086,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-34,text,true,,40,998,998,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118627124,60085,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-36,text,true,,40,999,999,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118627124,60086,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-35,text,true,,40,999,999,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118627208,60084,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-37,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118627302,60056,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-38,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118627356,60078,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-39,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118627473,60036,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-41,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118627472,60075,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-40,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118627516,60069,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-42,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118627638,60076,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-43,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118627651,60083,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-44,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
